rule_kurze,rule_ramsch,rule_farbwenz,rule_geier,klopfen_allowed,game_type,farbe,spieler_id,nklopfer,kontra,retour,spieler_win,spieler_augen,nhaett,is_tout,laufende,player0_cards,player1_cards,player2_cards,player3_cards,round0_ausspieler_id,round0_cards,round0_stecher_id,round1_ausspieler_id,round1_cards,round1_stecher_id,round2_ausspieler_id,round2_cards,round2_stecher_id,round3_ausspieler_id,round3_cards,round3_stecher_id,round4_ausspieler_id,round4_cards,round4_stecher_id,round5_ausspieler_id,round5_cards,round5_stecher_id,round6_ausspieler_id,round6_cards,round6_stecher_id,round7_ausspieler_id,round7_cards,round7_stecher_id
True,False,True,True,True,1,3,3,1,False,,True,62,0,False,0,"[30, 25, 11, 22, 16, 12]","[31, 17, 13, 18, 14, 20]","[27, 24, 21, 23, 15, 10]","[29, 28, 26, 9, 19, 8]",0,"[11, 17, 23, 19]",1,1,"[20, 24, 8, 12]",2,2,"[27, 9, 30, 13]",0,0,"[22, 14, 10, 29]",3,3,"[26, 25, 31, 21]",1,1,"[18, 15, 28, 16]",3,,,,,,
False,False,True,True,,-1,,,0,,,,,0,False,0,"[28, 27, 26, 21, 15, 11, 14, 12]","[31, 29, 13, 19, 7, 10, 6, 16]","[25, 9, 5, 1, 23, 3, 18, 4]","[30, 24, 17, 22, 2, 20, 8, 0]",,,,,,,,,,,,,,,,,,,,,,,,
True,False,True,True,False,1,2,1,0,False,,True,98,0,False,3,"[30, 17, 23, 22, 18, 16]","[31, 29, 25, 9, 14, 8]","[27, 21, 15, 11, 10, 20]","[28, 26, 24, 13, 19, 12]",0,"[30, 9, 21, 24]",0,0,"[17, 29, 27, 13]",1,1,"[31, 10, 26, 16]",1,1,"[14, 15, 28, 22]",3,3,"[19, 23, 8, 11]",0,0,"[18, 25, 20, 12]",1,,,,,,
True,False,True,True,True,-1,,,0,,,,,0,False,0,"[29, 26, 25, 23, 19, 8]","[31, 21, 13, 9, 14, 12]","[28, 24, 17, 11, 10, 20]","[30, 27, 15, 22, 18, 16]",,,,,,,,,,,,,,,,,,,,,,,,
True,False,True,True,True,2,1,1,1,False,,True,84,1,False,0,"[13, 31, 11, 14, 12, 28]","[26, 25, 21, 17, 23, 8]","[27, 9, 19, 30, 20, 16]","[24, 29, 15, 22, 18, 10]",0,"[14, 17, 30, 10]",1,1,"[26, 27, 29, 13]",2,2,"[19, 15, 11, 23]",1,1,"[25, 9, 24, 31]",1,1,"[8, 20, 18, 12]",2,2,"[16, 22, 28, 21]",1,,,,,,
False,False,True,True,True,1,3,3,0,False,,True,76,0,False,0,"[29, 27, 24, 21, 15, 7, 10, 0]","[28, 26, 25, 9, 23, 11, 12, 8]","[17, 13, 5, 3, 14, 20, 16, 4]","[31, 30, 1, 19, 22, 18, 6, 2]",0,"[7, 23, 3, 19]",1,1,"[28, 17, 1, 29]",0,0,"[0, 8, 20, 2]",2,2,"[16, 30, 10, 12]",3,3,"[18, 15, 26, 14]",1,1,"[9, 5, 31, 24]",3,3,"[6, 21, 25, 4]",1,1,"[11, 13, 22, 27]",0
True,False,False,True,True,3,,1,1,False,,True,69,1,False,2,"[19, 11, 18, 14, 13, 9]","[31, 30, 23, 22, 21, 24]","[29, 15, 10, 20, 16, 12]","[28, 27, 26, 17, 25, 8]",0,"[13, 21, 29, 17]",2,2,"[15, 27, 11, 23]",1,1,"[30, 10, 28, 9]",1,1,"[24, 20, 8, 19]",2,2,"[16, 25, 18, 31]",1,1,"[22, 12, 26, 14]",1,,,,,,
True,False,True,True,True,5,3,2,1,False,,False,26,1,False,0,"[30, 27, 26, 11, 17, 12]","[29, 23, 18, 9, 16, 8]","[31, 28, 24, 19, 15, 22]","[25, 14, 10, 21, 13, 20]",0,"[17, 9, 15, 13]",2,2,"[31, 25, 11, 29]",2,2,"[28, 21, 30, 23]",0,0,"[27, 18, 24, 20]",0,0,"[26, 16, 19, 14]",0,0,"[12, 8, 22, 10]",0,,,,,,
True,False,True,True,True,4,,3,0,False,,True,69,1,False,2,"[24, 19, 15, 29, 12, 8]","[25, 31, 18, 14, 21, 9]","[22, 30, 10, 17, 16, 28]","[27, 26, 23, 11, 13, 20]",0,"[29, 21, 17, 13]",1,1,"[18, 30, 11, 19]",1,1,"[31, 16, 23, 15]",3,3,"[27, 24, 25, 28]",3,3,"[26, 8, 9, 10]",3,3,"[20, 12, 14, 22]",3,,,,,,
True,False,True,True,True,5,1,3,1,True,True,True,76,2,False,-5,"[27, 15, 18, 14, 10, 8]","[30, 25, 19, 11, 22, 12]","[31, 29, 28, 23, 20, 16]","[26, 24, 21, 17, 13, 9]",0,"[15, 11, 23, 21]",3,3,"[9, 27, 25, 28]",2,2,"[20, 17, 8, 12]",3,3,"[24, 18, 30, 29]",1,1,"[19, 31, 26, 14]",2,2,"[16, 13, 10, 22]",3,,,,,,
